City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,ta`u,-14.2336,-169.5144,26.99,84,22,3.26,AS,1699639795
352,saint-leu,-21.15,55.2833,25.48,94,43,3.31,RE,1699639795
353,tommot,58.9564,126.2925,-15.34,97,99,1.45,RU,1699639795
354,mount pleasant,32.7941,-79.8626,27.78,67,75,4.92,US,1699639795
355,asbe teferi,9.0833,40.8667,17.96,60,99,1.82,ET,1699639651
356,illizi,26.4833,8.4667,25.78,12,0,3.21,DZ,1699639796
357,bamboo flat,11.7,92.7167,26.05,94,75,3.09,IN,1699639796
358,lagoa,39.05,-27.9833,19.89,87,100,12.14,PT,1699639796
359,bria,6.5423,21.9863,22.2,92,75,0.97,CF,1699639796
360,sabang,5.8933,95.3214,27.22,80,100,3.56,ID,1699639796
361,bariadi,-2.8,33.9833,24.07,57,100,2.35,TZ,1699639797
362,vorgashor,67.5833,63.95,-15.16,99,85,1.75,RU,1699639797
363,eirunepe,-6.6603,-69.8736,34.84,43,52,1.43,BR,1699639797
364,port alberni,49.2413,-124.8028,8.26,94,100,0.89,CA,1699639797
365,dudinka,69.4058,86.1778,-7.4,93,100,12.07,RU,1699639797
366,candido mendes,-1.4467,-45.7167,31.51,56,39,4.74,BR,1699639798
367,port douglas,-16.4833,145.4667,23.49,77,74,3.62,AU,1699639798
368,posto fiscal rolim de moura,-13.0833,-62.2667,38.56,30,76,2.97,BR,1699639798
369,la gi,10.6667,107.7833,25.74,88,100,4.38,VN,1699639677
370,san luis de la loma,17.2706,-100.8939,29.94,71,84,1.93,MX,1699639798
371,tarko-sale,64.9225,77.785,-6.46,92,78,4.36,RU,1699639799
372,sao vicente,-23.9631,-46.3919,31.1,54,86,2.24,BR,1699639737
373,mombaca,-5.7431,-39.6275,37.24,18,1,3.89,BR,1699639799
374,sinsang-ni,39.6503,127.4058,-0.4,44,26,1.77,KP,1699639799
375,yeppoon,-23.1333,150.7333,20.88,84,6,3.55,AU,1699639799
376,ugoofaaru,5.6667,73.0,28.05,77,98,2.62,MV,1699639799
